GSvolume_pa_composition_average,ML pred ASR barrier (eV),IsFBlock_composition_average,IsRareEarth_composition_average,CovalentRadii_composition_average,NdUnfilled_composition_average,ICSDVolume_composition_average,BCCfermi_composition_average,AtomicVolume_arithmetic_average,ThermalExpansionCoefficient_arithmetic_average,valence_composition_average,GSenergy_pa_composition_average,phi_difference,HHIr_composition_average,HeatFusion_composition_average,HHIr_arithmetic_average,HeatFusion_arithmetic_average,CovalentRadius_composition_average,ElectricalConductivity_composition_average,phi_arithmetic_average,ElectricalConductivity_difference,Electrolyte class_2,BCCenergy_pa_composition_average,ThermalConductivity_arithmetic_average,HeatCapacityMolar_composition_average
21.171,1.123112687,0.0,0.0,1.0764,0.52,25.82,3.5209796352,3741.3812918157632,169.48,2.36,-4.578287550400001,2.78,1204.0,4.338399999999999,1700.0,8.9,108.56,3.504,3.3,15.099999999999998,0.0,-3.1853821984,53.09348,28.3016
20.7199,1.170289092,0.0,0.0,1.0716,0.6,25.514000000000003,3.4689985582,3741.3812918157632,169.48,2.4000000000000004,-4.6647762958,2.78,1200.0,4.471599999999999,1700.0,8.9,108.42,3.554,3.3,15.099999999999998,0.0,-3.2731933768,53.09348,28.2638
21.1526,1.045027701,0.0,0.0,1.0806,0.7,25.938,3.4046104783999995,3123.319945326889,143.11666666666667,2.34,-4.628358604100001,2.78,1224.0,4.4232,1850.0,9.315,109.57999999999998,3.366,3.283333333333333,16.099999999999998,0.0,-3.23428964,47.11123333333334,28.2924
20.60526,1.404889481,0.0,0.0,1.0738,0.7399999999999999,25.5352,3.35928544356,3742.590577339854,167.34,2.332,-4.69802898354,2.78,1241.2,4.61388,1900.0,9.748,109.08800000000002,3.5875999999999992,3.11,16.099999999999998,0.0,-3.30377360996,43.21348,28.24308
21.1342,1.214236068,0.0,0.0,1.0848,0.88,26.056,3.2882413216,3742.590577339854,167.34,2.3200000000000003,-4.678429657800001,2.78,1244.0,4.507999999999999,1900.0,9.748,110.6,3.228,3.11,16.099999999999998,0.0,-3.2831970816,43.21348,28.2832
20.7269,1.332925376,0.02,0.02,1.0772,0.58,25.784,3.318875075,3744.735869151062,170.1,2.3200000000000003,-4.5909355313,2.78,1256.0,4.529599999999999,2000.0,9.002,109.26,3.587999999999999,2.986,15.099999999999998,0.0,-3.1985371414,46.75348,28.253
20.23,1.160105817,0.0,0.0,1.066,0.6,25.16,3.392131186,6222.720769615736,271.2,2.2,-4.654857424,2.78,1300.0,4.795999999999999,1833.3333333333333,7.846666666666667,107.8,4.14,2.473333333333333,15.099999999999998,0.0,-3.2565727320000004,39.555800000000005,28.2028
20.23,1.355093511,0.0,0.0,1.066,0.6,25.16,3.392131186,6222.720769615736,271.2,2.2,-4.654857424,2.78,1300.0,4.795999999999999,1833.3333333333333,7.846666666666667,107.8,4.14,2.473333333333333,15.099999999999998,0.0,-3.2565727320000004,39.555800000000005,28.2028
20.52975,1.441246163,0.0,0.0,1.073,0.75,25.505000000000003,3.3499158435000003,4673.292904941451,205.9,2.2,-4.634985522625,2.78,1345.0,4.7435,2500.0,9.41,108.9,3.73,2.6675,16.4,0.0,-3.23637284675,33.61685000000001,28.22055
20.8295,1.400531751,0.0,0.0,1.08,0.9,25.85,3.307700501,4673.292904941451,205.9,2.2,-4.61511362125,2.78,1390.0,4.690999999999999,2500.0,9.41,110.0,3.32,2.6675,16.4,0.0,-3.2161729615,33.61685000000001,28.2383
