ICSDVolume_composition_average,IsFCC_arithmetic_average,BCCmagmom_composition_average,HeatCapacityMass_arithmetic_average,SpecificHeatCapacity_arithmetic_average,NdValence_composition_average,FirstIonizationEnergy_composition_average,ThermalExpansionCoefficient_arithmetic_average,IonizationEnergy_composition_average,ThermalConductivity_composition_average,GSenergy_pa_composition_average,ElasticModulus_difference,Electrolyte class_0,n_ws^third_difference,GSestBCClatcnt_composition_average,SpaceGroupNumber_composition_average,Electrolyte class_3,IonicRadii_composition_average,Electrolyte class_1,CovalentRadius_composition_average,phi_arithmetic_average,NUnfilled_composition_average,CovalentRadii_arithmetic_average,AtomicVolume_arithmetic_average,NUnfilled_arithmetic_average,HHIr_composition_average,CovalentRadii_composition_average,GSvolume_pa_composition_average,BCCenergy_pa_composition_average,HeatVaporization_arithmetic_average,GSestFCClatcnt_composition_average,ThirdIonizationEnergy_composition_average,NdUnfilled_composition_average,Electronegativity_composition_average,ElectricalConductivity_composition_average,ElectronAffinity_composition_average,HeatFusion_composition_average,BoilingT_composition_average,HeatCapacityMolar_composition_average,ElasticModulus_arithmetic_average,AtomicRadii_composition_average,Polarizability_composition_average,BCCfermi_composition_average,ElectricalConductivity_difference,ElasticModulus_composition_average,ThirdIonizationEnergy_arithmetic_average,ShearModulus_composition_average,MendeleevNumber_composition_average,FirstIonizationEnergy_arithmetic_average,HHIp_composition_average
25.82,0.0,0.286510976,0.4438,0.4443999999999999,1.48,10.7687368,169.48,1038.596,21.712440000000004,-4.578287550400001,198.0,1.0,0.96,3.1859555018,91.08,0.0,1.2523999999999995,0.0,108.56,3.3,1.88,1.2899999999999998,3741.3812918157632,2.6,1204.0,1.0764,21.171,-3.1853821984,231.35618,4.01405240068,39.42652,0.52,2.6192,3.504,88.46,4.338399999999999,1107.02,28.3016,96.4,1.1468,9.9396,3.5209796352,15.099999999999998,38.0,29.9174,13.980000000000002,66.36,8.3914088,1472.0
25.514000000000003,0.0,0.328724232,0.4438,0.4443999999999999,1.4,10.7799064,169.48,1039.61,21.98444,-4.6647762958,198.0,0.0,0.96,3.1604771581400004,92.84,0.0,1.2492,1.0,108.42,3.3,1.88,1.2899999999999998,3741.3812918157632,2.6,1200.0,1.0716,20.7199,-3.2731933768,231.35618,3.9819516992,39.4295,0.6,2.6166,3.554,86.52,4.471599999999999,1112.1999999999998,28.2638,96.4,1.13922,9.966399999999998,3.4689985582,15.099999999999998,41.22,29.9174,15.26,65.86,8.3914088,1468.0
25.938,0.0,0.286510976,0.4195,0.4203333333333333,1.3,10.7462044,143.11666666666667,1036.744,20.724440000000005,-4.628358604100001,198.0,1.0,0.96,3.18520170804,92.14,0.0,1.2586,0.0,109.57999999999998,3.283333333333333,1.98,1.3449999999999998,3123.319945326889,3.6666666666666665,1224.0,1.0806,21.1526,-3.23428964,258.34681666666665,4.013102680039999,39.22688,0.7,2.6044,3.366,86.03999999999999,4.4232,1121.88,28.2924,91.06666666666666,1.1506,10.2524,3.4046104783999995,16.099999999999998,38.288,28.35116666666667,14.14,65.0,8.029057333333332,1616.0
25.5352,0.0,0.3286343712,0.4579999999999999,0.4588,1.2599999999999998,10.7636866,167.34,1038.3052,21.644440000000003,-4.69802898354,198.0,1.0,0.96,3.1539281217800004,93.34,0.0,1.2555199999999995,0.0,109.08800000000002,3.11,1.94,1.332,3742.590577339854,3.6,1241.2,1.0738,20.60526,-3.30377360996,251.94218,3.973700430412,39.327364,0.7399999999999999,2.60524,3.5875999999999992,85.116,4.61388,1126.444,28.24308,99.28,1.140984,10.204,3.35928544356,16.099999999999998,42.0344,27.921,15.504,64.732,8.1660848,1596.4
26.056,0.0,0.286510976,0.4579999999999999,0.4588,1.12,10.723672,167.34,1034.892,19.73644,-4.678429657800001,198.0,1.0,0.96,3.18444791428,93.2,0.0,1.2648,0.0,110.6,3.11,2.08,1.332,3742.590577339854,3.6,1244.0,1.0848,21.1342,-3.2831970816,251.94218,4.0121529594,39.02724,0.88,2.5896,3.228,83.61999999999999,4.507999999999999,1136.74,28.2832,99.28,1.1544,10.5652,3.2882413216,16.099999999999998,38.576,27.921,14.3,63.64,8.1660848,1760.0
25.784,0.2,0.3201917199999999,0.4294,0.4297999999999999,1.22,10.7576834,170.1,1037.472,21.746440000000003,-4.5909355313,198.0,1.0,0.96,3.1602990425,93.82,0.0,1.2568,0.0,109.26,2.986,1.7799999999999998,1.348,3744.735869151062,1.7999999999999998,1256.0,1.0772,20.7269,-3.1985371414,198.88218,3.98172728754,39.37704,0.58,2.6036,3.587999999999999,86.02,4.529599999999999,1085.4,28.253,90.0,1.14586,10.2252,3.318875075,15.099999999999998,40.52,28.823,14.958000000000002,65.10000000000001,8.1734568,1620.0
25.16,0.0,0.3368074399999999,0.5143333333333333,0.515,1.4,10.7893648,271.2,1040.52,23.84044,-4.654857424,195.0,0.0,0.94,3.1315974840000003,91.8,0.0,1.2539999999999998,1.0,107.8,2.473333333333333,1.7999999999999998,1.29,6222.720769615736,1.6666666666666663,1300.0,1.066,20.23,-3.2565727320000004,172.30363333333332,3.9455655898,39.6604,0.6,2.6180000000000003,4.14,88.25999999999999,4.795999999999999,1122.66,28.2028,73.66666666666666,1.1326,9.9212,3.392131186,15.099999999999998,44.2,29.478,15.98,65.60000000000001,8.903574666666668,1520.0
25.16,0.0,0.3368074399999999,0.5143333333333333,0.515,1.4,10.7893648,271.2,1040.52,23.84044,-4.654857424,195.0,1.0,0.94,3.1315974840000003,91.8,0.0,1.2539999999999998,0.0,107.8,2.473333333333333,1.7999999999999998,1.29,6222.720769615736,1.6666666666666663,1300.0,1.066,20.23,-3.2565727320000004,172.30363333333332,3.9455655898,39.6604,0.6,2.6180000000000003,4.14,88.25999999999999,4.795999999999999,1122.66,28.2028,73.66666666666666,1.1326,9.9212,3.392131186,15.099999999999998,44.2,29.478,15.98,65.60000000000001,8.903574666666668,1520.0
25.505000000000003,0.0,0.29470651,0.52775,0.52825,1.25,10.7563768,205.9,1037.345,21.73544,-4.634985522625,195.0,1.0,0.94,3.151759165825,91.8,0.0,1.2564999999999995,0.0,108.9,2.6675,1.95,1.3275,4673.292904941451,3.5,1345.0,1.073,20.52975,-3.23637284675,205.427725,3.97096771715,39.4419,0.75,2.605,3.73,86.96249999999999,4.7435,1120.235,28.22055,75.25,1.141425,10.1787,3.3499158435000003,16.4,41.0,28.2985,14.83,64.42500000000001,8.3180535,1580.0
25.85,0.0,0.25260558,0.52775,0.52825,1.1,10.7233888,205.9,1034.17,19.63044,-4.61511362125,195.0,1.0,0.94,3.17192084765,91.8,0.0,1.259,0.0,110.0,2.6675,2.1,1.3275,4673.292904941451,3.5,1390.0,1.08,20.8295,-3.2161729615,205.427725,3.9963698445,39.2234,0.9,2.592,3.32,85.66499999999999,4.690999999999999,1117.81,28.2383,75.25,1.15025,10.4362,3.307700501,16.4,37.8,28.2985,13.68,63.25,8.3180535,1640.0
